Count,FAN,COMP.A,COMP.B,MAIN,FLW,ECRH,ORH,RERH,SURH,RUAVG,SUAVG,ECT,OT,IT,RET,SUT,DISP2,DISP1,SUCP2,SUCP1,CONT,EVAT,EXT2,EXT1,SUCT2,SUCT1,DIST2,DIST1,SUAVG.Humidity,RUAVG.Humidity
2069,0,0,0,29.000002,33.84549,90.524818,89.492104,82.874107,79.530037,23.408819,25.205246,22.027723,16.533773,24.706274,21.962189,24.208197,8.329541,8.332023,8.344922,8.361755,20.680513,22.20269,21.55509,22.034019,21.879929,22.735764,22.267241,22.117317,0.016139338,0.015075598
2070,0,0,0,30.000002,38.110287,84.370163,89.140442,78.015991,91.166603,25.087601,19.023438,23.476151,23.923523,23.716345,23.214739,17.062429,7.830629,7.863625,7.907705,7.960227,29.2721,19.489428,20.053736,19.783033,26.912512,23.822737,29.106155,48.386978,0.012621091,0.015710964
2071,0,0,0,30.000002,33.823681,92.037262,90.938911,85.644768,79.343361,22.849226,24.892771,21.593071,15.810191,24.43482,21.394529,23.94018,8.222575,8.225167,8.248366,8.263567,20.393152,21.738333,21.174023,21.567583,21.478043,22.133974,21.688354,21.590487,0.015795777,0.015060691
2072,1698.000122,4341.000488,2851.99939,10009,3067.916748,77.780571,88.521324,75.763237,83.135147,24.863768,15.464993,23.438879,24.038895,23.689085,23.042633,15.006981,15.581128,15.820363,5.242041,5.181064,40.112118,11.574528,26.685862,28.157061,20.247393,19.029234,69.523117,79.024483,0.009137563,0.015039085
2073,1681.000122,5283,2329.999878,10412,2850.89917,51.674564,40.356461,61.419907,86.062904,29.094419,19.59868,29.65024,35.273075,26.570932,27.483191,18.316339,13.612704,19.712904,1.616063,5.768324,46.502026,14.583481,37.366852,35.173092,30.340591,18.683569,156.157013,88.529594,0.012343813,0.015647372
2074,1704.000122,4123,0,6575.000488,2811.548584,81.740906,94.956238,75.784264,90.444191,24.528013,17.596327,22.370316,17.191637,23.598776,22.630468,16.232798,7.487632,14.819888,7.525843,5.152579,31.850243,11.414189,23.516632,17.996403,24.461861,19.880903,24.520544,76.244926,0.011426562,0.014737366
2075,0,0,0,39.000004,33.751514,83.710503,82.233574,79.313377,78.104591,22.835005,25.052925,21.929193,21.955915,24.660902,21.66659,24.158228,6.33812,8.271343,6.37459,8.313998,20.649279,23.023125,21.388504,22.42758,23.410437,23.098089,22.506708,22.298477,0.01569596,0.013910122
2076,1685.000122,4713,3151.999878,10668,2748.920898,71.847839,72.82917,68.887581,88.527275,26.523895,16.220522,25.661987,28.085077,25.729792,24.6306,14.807157,17.296453,17.342024,5.613785,5.415285,44.526962,13.361159,30.761513,32.601017,18.090109,18.845991,78.478012,81.913536,0.010229895,0.015090795
2077,1695.000122,4623,3080.999878,10517,2689.535645,75.225548,76.630714,78.115967,88.368004,25.087603,15.243468,24.226906,23.023521,23.750183,23.184906,13.877956,16.791262,16.933207,5.456322,5.285443,43.412426,12.151332,29.733492,31.558828,16.134809,16.869869,76.330956,80.088295,0.009582231,0.015731608
2078,1695.000122,4535,1920.999878,9269,2768.067139,66.850136,70.931992,67.789803,89.557861,24.846956,17.067183,24.63059,26.563562,23.803345,23.323969,15.746964,11.289738,16.595201,1.271257,5.318711,38.099644,11.724456,28.873438,27.902082,25.651772,17.836065,141.510849,79.618324,0.010933631,0.013408437
2079,1697.000122,4481,0,6928.000488,2764.612305,69.344093,74.257362,70.211403,90.566193,24.723539,17.514332,24.336687,26.13176,23.604622,23.136171,16.101952,6.453018,16.362247,6.61924,5.306919,36.445969,11.849396,28.096354,15.718346,40.291313,18.456596,73.203445,79.179321,0.011382088,0.01379377
2080,1687.000122,5305,2351.999878,10462,2868.856689,49.545269,36.333443,58.565388,84.675636,29.206186,19.591696,29.759531,36.165615,26.737045,27.611441,18.301956,13.78353,19.889517,1.651821,5.751077,46.998249,14.752151,37.684429,35.563652,31.012444,18.660662,158.053284,88.615196,0.012135584,0.015001645
2081,1717.000122,3974,0,6447.000488,2772.467529,75.129929,88.670006,70.010368,90.070992,24.073847,16.46866,22.03624,20.562233,23.09549,22.506956,15.133835,6.365191,14.102707,6.397625,4.965826,30.300117,10.062457,22.117315,14.745903,23.579103,18.887636,23.262594,74.236244,0.010580073,0.013217195
2082,1694.000122,4540,1927.999878,9280,2780.185547,67.219566,71.762383,68.281776,89.53994,24.846956,17.116091,24.574614,26.445091,23.778963,23.285589,15.7738,11.252109,16.5765,1.267344,5.317995,37.796394,11.724456,28.883558,27.893984,25.67808,17.771513,142.046097,79.516312,0.010965936,0.01350786
2083,1684.000122,5305.000488,2350.99939,10458,2868.71167,49.710449,36.52182,58.161304,84.717606,29.106062,19.482237,29.648252,36.252762,26.707651,27.594233,18.189913,13.670914,19.728506,1.646921,5.733055,47.906033,14.72508,37.539913,35.509018,30.820198,18.092192,157.506607,88.141579,0.012057757,0.014807659
2084,1693.000122,4572,1952.000855,9335.000977,2786.419922,65.569626,69.594391,66.392181,89.422432,24.96805,17.139378,24.870539,26.663025,23.952614,23.448898,15.785167,11.427361,16.746414,1.289388,5.336988,38.61359,11.899371,29.508865,28.428236,25.882469,17.675726,142.137802,79.960785,0.010967746,0.01322339
2085,1679,5361.000488,3649.999512,11808,2804.18457,59.791397,49.820374,68.247581,87.132439,28.813416,17.645247,29.04648,26.243761,27.082609,26.87615,16.358179,19.891895,19.922363,5.896842,5.707975,51.920193,14.346096,37.235966,39.084221,17.686138,17.686136,84.512962,88.281837,0.011035381,0.017146482
2086,0,0,0,30.000002,34.469418,90.709404,89.842278,82.418465,85.834373,25.94565,24.501017,23.805681,24.101824,24.764551,24.372019,23.411596,8.359328,8.377716,8.410136,8.445092,24.816,24.237234,22.233925,23.248016,27.08857,26.204229,26.293272,26.558371,0.016716613,0.017514901
2087,1681,5213.000488,3535.999512,11548,2788.640625,59.555019,49.483215,64.80751,86.968567,28.870871,17.267469,28.683493,27.871614,26.773399,27.059011,16.00062,19.446882,19.4695,5.82359,5.634628,50.886303,14.454379,36.464184,38.426525,18.300425,18.344151,84.257935,86.990326,0.010749939,0.016315241
2088,1698.000122,4248,0,6690,2847.996094,81.303703,92.838257,79.086533,90.656769,24.863768,18.456793,23.187166,23.369095,23.572252,22.985582,16.986681,7.63494,15.419029,7.674539,5.287651,33.305256,12.02431,24.842306,18.535725,26.052458,20.665937,26.115189,78.006729,0.012103466,0.015715432
2089,1680,5384,2393,10575,2846.61499,52.393887,41.488205,63.566685,86.488472,29.161947,19.798964,29.702646,35.384468,26.534391,27.476488,18.440672,13.965545,20.17853,1.665703,5.81009,47.423588,14.652196,38.107517,35.848991,30.383081,18.36289,157.535965,89.34201,0.012564485,0.016273598
2090,0,0,0,30.000002,33.828438,90.263588,89.264038,82.834595,79.638832,23.520739,25.205246,22.092505,16.568998,24.744097,22.075768,24.221619,8.344447,8.346977,8.358018,8.375674,20.751314,22.321381,21.611311,22.117315,23.050194,22.85029,22.352615,22.204767,0.01616199,0.015172828
2091,1678,4843,3250,10889,2738.322021,66.814362,61.787567,73.742142,87.783485,25.987619,15.490643,25.79711,22.601484,24.694368,24.092598,14.148768,17.915735,18.022526,5.518553,5.352827,46.125916,12.178402,32.307587,34.236134,13.198738,15.245658,77.479309,81.47818,0.00967256,0.015664608
2092,0,0,0,40.000004,33.710384,87.029716,85.324562,83.677979,78.049706,21.605471,24.4055,20.885595,20.859346,24.116766,20.488092,23.535181,6.061376,8.057758,6.088352,8.097745,19.822599,21.954893,20.55974,21.400995,21.763321,21.748743,21.209421,21.109472,0.015074965,0.013610172
2093,1687.000122,4595,3063.000855,10463.00098,2748.887939,73.337395,76.258156,70.454979,88.522606,26.115862,15.912712,25.10417,27.023115,25.524126,24.325256,14.528583,16.80617,16.87261,5.567473,5.362215,43.49316,13.007165,29.468393,31.251236,18.660666,19.077127,77.595268,81.073776,0.01002696,0.015066171
2094,1681,5172.000488,3507.000489,11478.00098,2794.202881,59.59621,49.108852,64.591866,86.670502,28.759092,17.139378,28.550737,27.832947,26.758162,27.053606,15.920757,19.151266,19.164377,5.787281,5.599975,50.16235,14.333603,36.018978,37.948017,18.2442,18.233789,83.802536,86.482094,0.010624453,0.01615183
2095,1680.000122,5443,3713.999878,11955,2816.851807,55.785923,42.694656,64.974037,85.78595,29.907112,17.907911,29.910538,35.216343,27.483475,28.148392,16.713453,20.204329,20.197439,5.899815,5.718239,52.998276,14.818784,38.45409,40.348419,16.753256,17.246769,85.593178,89.485924,0.01104643,0.017394343
2096,1691.000122,4558,1935.999878,9303,2776.132813,65.790665,68.563835,66.290657,89.34362,24.958735,17.139378,24.866053,26.899439,24.038687,23.435461,15.83535,11.390884,16.707022,1.287292,5.341701,38.700233,11.968089,29.37126,28.349312,25.83795,17.823572,142.096115,80.006325,0.010957909,0.01319525
2097,0,0,0,30.000002,33.865517,93.343269,93.108803,87.38549,79.238831,22.737307,24.769186,21.549486,15.742995,24.353554,21.308275,23.8272,8.193717,8.209805,8.225848,8.24532,20.715912,21.634216,21.088648,21.436396,21.563416,21.936152,21.536346,21.465548,0.015655535,0.015267809
2098,1719.000122,3877.000244,0,6355.000488,2975.344971,75.777496,89.033669,69.861336,88.181511,24.038918,17.174311,21.746805,19.818487,23.105339,22.383184,16.11693,6.436277,13.769441,6.479554,4.775568,29.087944,10.44051,21.144869,15.447644,23.014795,19.932962,22.590002,67.866043,0.010837268,0.013160237
2099,1678,5241,3553,11590,2820.156006,56.792751,43.869061,64.508034,85.77372,29.625406,17.606098,29.485825,26.221102,27.242165,27.854181,16.45503,19.55818,19.581133,5.854227,5.661217,51.120743,14.75423,36.914532,38.710083,18.829332,18.581533,84.89003,88.356529,0.010833027,0.016980948
2100,0,0,0,30.000002,33.838596,87.946686,87.556206,79.764458,78.987625,23.968416,25.643637,22.669304,22.824806,24.942652,22.519854,24.631966,8.448459,8.439076,8.471721,8.486007,21.384338,22.827385,22.073584,22.642059,23.951841,23.60409,23.058523,22.852373,0.016460779,0.015005707
2101,1711.000122,4120,0,6582.000488,2794.656006,81.219963,95.551292,75.757973,90.562935,24.637596,17.705929,22.505327,16.230478,23.535147,22.720705,16.296831,7.527387,14.789205,7.55538,5.165608,31.593237,11.478742,23.481237,18.129673,24.639944,20.151604,24.664225,76.396423,0.011522713,0.014831345
2102,1691.000122,4514,1920.000855,9243.000977,2834.219482,68.431915,65.91671,72.628296,88.98098,25.096123,17.477066,24.681276,26.49819,23.936831,23.56424,16.207787,11.358844,16.537493,1.236295,5.367537,37.68552,11.686974,28.470732,27.707811,25.593088,18.429525,135.478928,79.585533,0.011152524,0.014608103
2103,1740.000122,4136.000488,2712.99939,9707,3049.149658,84.333466,93.69986,74.595573,84.173546,24.192255,14.52758,22.134378,15.603023,23.915545,22.276321,13.5471,14.721879,14.902368,5.190766,5.03135,37.542316,11.609929,24.168371,25.678078,20.180758,19.953783,69.747551,74.842209,0.00870357,0.014205359
2104,1679,5197,2281,10275,2877.678467,54.412189,44.598415,60.615662,86.173683,28.759092,19.486895,28.972473,35.094841,26.557764,27.23839,18.222033,13.330703,19.36253,1.582824,5.730221,45.263428,14.271132,36.330624,34.410168,30.457964,19.335337,156.199585,87.447563,0.012272713,0.015133348
2105,0,0,0,40.000004,33.764229,87.007973,85.742821,82.776695,78.307343,21.940798,24.517286,21.085289,21.043545,24.225891,20.817902,23.655174,6.123701,8.118405,6.156757,8.152689,19.816353,22.233923,20.742985,21.644625,22.083994,21.998625,21.440561,21.323954,0.015230018,0.0137453
